NOM LIEN;NOM;Sexe;Profession;Anniversaire;Âge;Nationalité;Zodiaque;Lieu de naissance;Centimètre;Kilogramme;Couleur des yeux;Couleur des cheveux;Décès;Particularité 1;Particularité 2;Particularité 3
taylor-swift;Taylor Swift;F;Chanteuse, autrice-compositrice;13/12/1989;34;Américaine;Sagittaire;États-Unis;181;57;Bleu;Blonds;–;sort un premier album country à 16 ans; seule artiste vivante ayant cinq albums  dans le top 10 du Billboard 200 en 2023;désignée « personnalité de l'année » par le magazine  Time en 2023
rihanna;Rihanna;F;Chanteuse, autrice-compositrice;20/02/1988;36;Barbadienne;Poissons;Barbade;173;61;–;Noirs;–;s'est produite lors du  spectacle de la mi - temps du Super Bowl 2023;élue la 15e meilleure artiste de tous les temps selon Billboard en 2013;fondatrice de Fenty Beauty
lebron-james;Lebron James;M;Joueur de Basketball;30/12/1984;39;Américaine;Capricorne;États-Unis;202;109;Brun;Noirs;–;joueur des Lakers de Los Angeles;élu sportif masculin de la décennie par l'Associated Press;Principaux postes : Meuneur/Ailier/Ailier fort
emma-d-arcy;Emma D'Arcy;F;Actrice;27/06/1992;31;Britannique;–;Royaume-Uni;173;–;Bleu;Brun;–;joue Rhaenyra Targaryen - House of the Dragon;personnalité non binaire;a fait les Beaux Arts -  Ruskin School of Art
milly-alcock;Milly Alcock;F;Actrice;11/04/2000;23;Australienne;Capricorne;Australie;165;45;Verts;Brun;–;Joue Rhaenyra Targaryen jeune - House of the Dragon;Joue Cindi Jackson - Janet King;Joue Isabella Barrett - High Life
joseph-quinn;Joseph Quinn;M;Acteur;15/05/1993;30;Britannique;–;Angleterre;178;–;Brun;Brun;–;joue Eddie Munson - Stranger Things s4;joue Koner - Game of Thrones s7;joue Eric - Sans un bruit
ji-soo;Ji Soo;M;Acteur;30/03/1993;30;Sud-Coréen;–;Corée du Sud;186;–;Brun foncé;Noirs;–;joue dans le KDrama My First First Love;joue dans le Kdrama Angry Mom;Lauréat des 11th Max Movie Awards -  Catégorie Rising Star Award
ariana-grande;Ariana Grande;F;Actrice, Chanteur/euse;26/06/1993;30;Américaine;Cancer;États-Unis;155;43;Brun foncé;Brun foncé;–;joue Cat Valentine - Victorious;sort un single en 2013 en duo avec Mac Miller;Désignée « Femme de l'année » en 2018 par Billboard
kim-kardashian;Kim Kardashian;F;Personnalité TV;21/10/1980;43;Américaine;Balance;États-Unis;159;53;Brun foncé;Brun;–;Amie et styiste de Paris Hilton;Montée en célébrité après une sextape ayant fuitée;Fondatrice de la société de sous - vêtements et vêtements modelants Skims
kourtney-kardashian;Kourtney Kardashian;F;Personnalité TV;18/04/1979;44;Américaine;Bélier;États-Unis;152;47;Brun foncé;Noirs;–; a ouvert un magasin pour enfants nommé Smooch;a ouvert, avec ses sœurs une boutique de vêtements nommée DASH;lance son propre site web Beauté et Bien - être, intitulé Poosh en l'honneur de sa fille Penelope
